"danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "track_uri" "duration_ms" "time_signature" "key_mode"
0.347 0.893 "C#" -9.784 "minor" 0.0958 7.39e-05 0.00294 0.0667 0.366 126.492 "0t8JoPmxcwsWXWcsflNKxk" 500933 4 "C# minor"
0.319 0.71 "G" -9.937 "major" 0.0684 0.00994 6.98e-05 0.209 0.142 165.621 "5dz43JZ6QteTXfAtmZbB2n" 330067 3 "G major"
0.28 0.907 "D" -9.29 "major" 0.0586 0.000104 0.00536 0.337 0.45 104.896 "6nRCTb5b0N5zp8WTeY6xFZ" 572133 4 "D major"
0.506 0.852 "C#" -9.989 "minor" 0.0488 5.68e-05 0.0945 0.347 0.591 145.685 "2bBAAVvOHsr7vxWFTuYxH8" 423240 4 "C# minor"
0.304 0.365 "E" -14.507 "minor" 0.0327 0.279 0.0455 0.214 0.228 110.31 "7LaaIr1D8CjH1tc7ERTr8A" 151867 4 "E minor"
0.36 0.818 "E" -10.569 "minor" 0.0525 0.000832 0.0446 0.131 0.565 126.585 "4jdEbvfD0u6tmOLgMKJYUg" 690227 4 "E minor"
0.425 0.847 "C#" -6.643 "major" 0.0427 0.0532 0 0.11 0.391 156.961 "2X09X9bTGQSFxM7lQAXOSG" 231893 4 "C# major"
0.334 0.913 "C" -7.085 "minor" 0.044 0.000802 2.64e-05 0.143 0.543 76.741 "1gPiK6YyvLbMlzTqdhmBLI" 730240 4 "C minor"
0.199 0.727 "G" -6.387 "major" 0.0308 0.000636 1.9e-06 0.302 0.159 78.652 "2eTQhsXb9Qjcn29GaFeTyJ" 438160 4 "G major"
0.425 0.964 "F" -5.369 "minor" 0.0571 3.94e-05 0.000157 0.347 0.383 149.989 "73nBVmKakgJW8r7aNBvG00" 345893 4 "F minor"
0.578 0.815 "G" -6.491 "major" 0.0372 0.0314 0.000114 0.114 0.529 123.023 "4cXpmVEK4QYz38jm0dtigG" 299253 4 "G major"
0.513 0.538 "A#" -10.573 "minor" 0.0435 0.639 0.00014 0.111 0.209 108 "7pixxnNNHqIVCGGUR2OMqF" 269320 4 "A# minor"
0.254 0.669 "E" -7.535 "minor" 0.0496 0.0168 0 0.156 0.333 137.023 "7k76o969AW3FetXDjQbbUJ" 231413 4 "E minor"
0.509 0.951 "G" -6.414 "major" 0.0507 0.000406 0.000554 0.132 0.37 105.98 "0u2yzXH9VhOYFVTc0JayT9" 306187 4 "G major"
0.508 0.829 "G#" -7.263 "major" 0.0503 0.00614 0 0.111 0.313 117.975 "78wkHPtLVwRFCxEOENr4KC" 355227 4 "G# major"
0.522 0.857 "G" -5.513 "minor" 0.035 0.000489 0 0.296 0.505 126.038 "3HeSnlzUQ8QnnfSHk566uA" 283733 4 "G minor"
0.529 0.722 "C" -6.858 "major" 0.0353 0.0579 0.0132 0.234 0.0966 126.026 "5OMjUrtcJ47TwKi7hAQ3cT" 369787 4 "C major"
0.31 0.963 "C#" -4.718 "major" 0.109 0.000409 1.38e-05 0.0991 0.261 177.884 "3quXmZrAZHENuRdIWomSEF" 254720 4 "C# major"
0.351 0.856 "A" -4.834 "major" 0.0431 0.0302 6.67e-05 0.109 0.363 174.203 "4ZQDHYjzrL74MieCG4Xssc" 415760 4 "A major"
0.388 0.976 "F" -3.688 "minor" 0.0986 0.00224 5.01e-06 0.0657 0.126 149.968 "1dEJHaiSo7L8Mh6yC7iH8X" 277693 4 "F minor"
0.535 0.681 "G#" -6.613 "major" 0.0355 0.0552 3.58e-05 0.331 0.361 126.055 "4YX0QZGfPYQWG0rvXq3VQt" 232227 4 "G# major"
